candidate,setting_key,interval,horizon,n,mean_atr,median_atr,t_stat,p_value,ci_low_atr,ci_high_atr,mean_bps,ci_low_bps,ci_high_bps,win_rate,mean_atr_BTCUSDT,mean_atr_ETHUSDT,mean_atr_SOLUSDT,signs_agree,n_non_overlap,non_overlap_mean_atr,non_overlap_p,is_registered
2,"squeeze[bb_length=20, kc_length=30, kc_mult=2.0]",1h,24,213,-0.07659126032732057,-0.002648796122162577,-0.3187698142114317,0.7502149089144099,-0.4856182048502788,0.3639858475709088,-14.441857138881545,-46.3933502769592,21.73810916523955,0.49765258215962443,-0.36251833028936076,-0.09791536140694174,0.3381053786731377,False,211,-0.0575935048320662,0.8117260725411456,False
2,"squeeze[bb_length=20, kc_length=30, kc_mult=2.0]",1h,48,213,-0.45251112224137024,-0.5662407426314121,-1.2198759599021403,0.22386721331973666,-0.9852212140645648,0.3002120676256738,-47.973319504509384,-94.7643462510566,17.596402001148586,0.4413145539906103,-0.6752070630464005,-0.13100097911213823,-0.48945490414623716,True,202,-0.45497845620556043,0.22755147006699653,False
3,"adx[length=20, threshold=30.0]",15m,1,1503,-0.014984268056623904,-0.09942040021999957,-0.5653612321699645,0.5719125251374375,-0.06792036941402388,0.0323894099810743,-1.6225782303984853,-4.24615936460595,0.8547259491121026,0.44843646041250834,0.02211627851800832,0.010013757691901005,-0.07712633802561975,False,1503,-0.014984268056623904,0.5719125251374375,False
3,"adx[length=20, threshold=30.0]",15m,3,1503,-0.008824098385622457,-0.16787940012396013,-0.20718877572373282,0.8358905176184862,-0.0915178972635129,0.0687795777971749,-1.3165187435881016,-5.038148540803502,2.2311787494621886,0.42847638057218895,-0.024858224105028512,0.03460617111896786,-0.040020733768808756,False,1500,-0.00712998088679393,0.8672585581089192,False
3,"adx[length=20, threshold=30.0]",15m,6,1502,0.06962190215817089,-0.18547043863835327,1.2452285609144549,0.21324210606358293,-0.03543673452135396,0.17348045111727858,0.3563877072172249,-4.39913846245082,5.087235728578549,0.44540612516644473,0.11690166427365359,0.0972385799352234,-0.005181887801770145,False,1489,0.06320538948227002,0.26129022751618197,False
3,"adx[length=20, threshold=30.0]",15m,12,1502,0.15721510431966407,-0.17163630153449116,2.0117737113864638,0.044422211429307384,0.0016186993637917365,0.3042409016841224,2.7582546158265586,-3.704563561781936,9.226378757321164,0.4600532623169108,0.12339751269787305,0.2097325593073902,0.13320351636655647,True,1455,0.15039295614533646,0.06008957822920436,True
3,"adx[length=20, threshold=30.0]",15m,24,1501,0.18155824436418364,-0.3291954190577953,1.729162839523979,0.08398569838559963,-0.028602145817749842,0.37767277790811454,1.21587392489953,-7.9974192653252105,10.470716149917333,0.4576948700866089,0.16965207196744314,0.26589584342725453,0.10264747947217624,True,1384,0.19102231111673948,0.08444039285256705,False
3,"adx[length=20, threshold=30.0]",15m,48,1498,0.4588615292071168,-0.2009651942126373,3.182087253323251,0.0014922019218203525,0.19846751019240352,0.7082624770628224,9.031725444837729,-1.9744914474943691,19.408564131458682,0.4786381842456609,0.6238228969063834,0.53856377411366,0.21589402067737748,True,1239,0.563546854888678,0.0006340742523054538,False
4,"adx[length=14, threshold=25.0]",15m,1,3527,-0.01680483338588125,-0.10124576308492204,-0.999147174143899,0.31779196293204887,-0.048217640552257114,0.017984602475681517,-0.8857788863827978,-2.357430724011645,0.6432512034764553,0.43776580663453357,0.006888269701805069,-0.03571562325339859,-0.021081385047345025,False,3527,-0.01680483338588125,0.31779196293204887,False
4,"adx[length=14, threshold=25.0]",15m,3,3527,0.02473375250494392,-0.131051199553618,0.8704405387165467,0.38411895521771267,-0.027690443901775406,0.07866168244280333,0.4049653112814586,-1.9657137773627744,2.8358570106956256,0.44797278140062374,0.03617865603379433,0.015886340730175193,0.022374421411267262,True,3507,0.02859502056456673,0.31518530580560017,False
4,"adx[length=14, threshold=25.0]",15m,6,3527,0.03151618426606123,-0.2116079980398417,0.8953634773783296,0.37065393490497006,-0.03766953876715017,0.09813044756826093,-0.11177984139602658,-3.2382491410690295,2.8062833752007865,0.44116813155656365,0.06071245293768307,0.004326956377682256,0.030215483979454453,True,3461,0.030778162330872164,0.38249850773215366,False
4,"adx[length=14, threshold=25.0]",15m,12,3527,0.09085969728530953,-0.24582481003104964,1.850259203128739,0.06435980206546883,-0.0014800454381799033,0.1809855479955215,2.3307121644545035,-1.6339472974738587,6.394666823137426,0.4445704564785937,0.11304836556414435,0.10329588731039745,0.056063785594532144,True,3285,0.10150035877936678,0.04676724758097731,True
4,"adx[length=14, threshold=25.0]",15m,24,3527,0.1328459341149947,-0.23794212218648905,1.932231556308138,0.05341094438126341,0.005431734035488305,0.25176525452351606,3.0892334106482453,-2.50222495580814,8.387531106975649,0.461582081088744,0.1918393175634053,0.03574922384573212,0.1732780758836428,True,2909,0.12870398893583523,0.08552466076196738,False
4,"adx[length=14, threshold=25.0]",15m,48,3527,0.2375792632495713,-0.27980043149943606,2.383148165189172,0.017217939715057477,0.05137999547283494,0.4073358318044266,4.559853782212849,-2.909106282388029,12.016663575284738,0.46583498724128153,0.26003527923016434,0.32287808378344407,0.12809629120606889,True,2240,0.28205861815811906,0.018768198624587812,False
