leader,interval,horizon,n,mean_atr,median_atr,t_stat,p_value,ci_low_atr,ci_high_atr,mean_bps,ci_low_bps,ci_high_bps,win_rate,mean_atr_BTCUSDT,mean_atr_ETHUSDT,mean_atr_SOLUSDT,signs_agree,n_non_overlap,non_overlap_mean_atr,non_overlap_p,passes
wavetrend,15m,24,22325,0.02281536781943347,-0.025258667464963632,0.9092591085553697,0.36322318613349047,0.003297768371307732,0.041986361519760214,0.2404637083101437,-0.6886631178167122,1.1398936451606005,0.49531914893617024,0.02220486717974622,0.012293077517374342,0.03410955766806943,True,4944,-0.022456378310165323,0.6809384336068216,False
wavetrend,15m,48,22313,-0.003437321462093528,-0.01219852223619192,-0.09214930321018094,0.9265802440541069,-0.023009159957487858,0.017873169639247236,-0.6080418928516123,-1.5329653264230192,0.3639572507627244,0.49867790077533275,-0.007035906055340687,-0.004170595385676525,0.0009101173189929401,False,2747,0.11951472739475207,0.2638085925348113,False
wavetrend,1h,1,5238,0.011598057447912178,-0.019941360225085025,1.1483734179822087,0.25086689285699015,-0.00970501022937103,0.0325436721424518,0.2914401913454994,-1.967586113018105,2.5186949020363976,0.48148148148148145,0.03376035756708749,-0.0033935461592605274,0.004220145031980509,False,4742,0.009576473925279546,0.3654227911205198,False
wavetrend,1h,3,5235,0.011463157128177363,-0.010426985037281806,0.663131109291206,0.507275791021036,-0.018891733144672743,0.041211234436486506,0.7939455638281071,-2.0819621464285603,3.615772807896751,0.49455587392550143,0.02790887859754035,0.009808213563857289,-0.003161010116174336,False,3860,0.02940596625115735,0.1328128735352234,False
wavetrend,1h,6,5235,0.012507799699255775,-0.011947431302276133,0.49742894992739395,0.6189074902508961,-0.021926034508715,0.04866188252918609,1.5214307026047866,-1.8534967313314548,4.99099808974248,0.49493791786055397,0.016948071564564664,0.03389311685029224,-0.012533984718200903,False,2993,0.01801917880932544,0.5913430523908324,False
wavetrend,1h,12,5235,0.016308573237115317,0.04367659904882082,0.46047212283529193,0.6451965064681661,-0.022901437108432954,0.05365647232468085,2.655573000750252,-1.1430115411009416,6.278574039798267,0.5081184336198663,0.022172421579397052,0.0324928249129074,-0.005112461095249375,False,1986,0.1020251957557398,0.07165422030363706,False
wavetrend,1h,24,5229,-0.008749733842427854,-0.02686348826386279,-0.17711821413447104,0.8594223964966166,-0.04904905210055529,0.03140360041234394,-0.9465135836166538,-4.928934609044016,3.015270464149919,0.4974182444061962,0.015538290249800597,0.026987131283048398,-0.06723474475084848,False,1193,0.30082442134553405,0.005044915595373188,False
wavetrend,1h,48,5213,0.0021629687257331835,-0.10538130878684057,0.030293476923008645,0.9758341587293202,-0.03985447173820914,0.04444589485565745,0.3200915124647093,-3.697418022976359,4.329984047806104,0.48916171110684825,0.0229656737278044,0.013309097388976246,-0.029088677442594742,False,660,-0.16397689439919755,0.4084711698307993,False
adx,5m,1,8129,-0.008597025868223179,-0.057456254896866864,-0.8845883322641425,0.3764048678362925,-0.026801220744733328,0.010364421652825431,-0.0667487977743764,-0.556775840390805,0.45760299266497595,0.462787550744249,-0.026460581479025164,-0.02331321717700673,0.023764428320981815,False,8129,-0.008597025868223179,0.3764048678362925,False
adx,5m,3,8129,-0.043126820740898256,-0.1268569520949068,-2.64739246955482,0.008127166139759378,-0.07252959289670516,-0.012679827787552974,-0.7246466081400509,-1.4710134062142701,0.038750554458743064,0.45122401279370156,-0.06880707900424488,-0.06524515796924184,0.004320542700926268,False,8055,-0.04356792420101345,0.0077914448075010545,False
