setting_key,family,interval,score,score_percentile,n_neighbours,neighbour_median_score,best_horizon,mean_atr,mean_bps,n_signals,signs_agree,neighbour_percentile,passes_neighbour,passes_signs,passes_all
"adx[length=20, threshold=20.0]",adx,5m,27.0,0.27692307692307694,4,26.083333333333332,48,0.16490329504777798,3.0313012237581636,5398,True,0.19230769230769232,True,True,True
"adx[length=20, threshold=25.0]",adx,15m,12.666666666666666,0.12307692307692308,4,7.333333333333334,48,0.29568763979871815,12.888401741570721,1482,True,0.03076923076923077,True,True,True
"adx[length=20, threshold=25.0]",adx,1h,8.166666666666666,0.09230769230769231,4,24.5,24,0.6190764142729499,32.72399859754528,352,True,0.24615384615384617,True,True,True
"adx[length=20, threshold=25.0]",adx,5m,18.5,0.2153846153846154,4,13.916666666666666,48,0.2793411314177208,7.066674139952133,4123,True,0.07692307692307693,True,True,True
"adx[length=20, threshold=30.0]",adx,15m,4.333333333333333,0.046153846153846156,3,12.666666666666666,12,0.3211269513998587,7.98391582100126,1073,True,0.08461538461538462,True,True,True
"adx[length=20, threshold=30.0]",adx,1h,23.333333333333332,0.23076923076923078,3,23.833333333333332,24,0.4690515228984108,23.94119196974934,272,True,0.23076923076923078,True,True,True
"adx[length=20, threshold=30.0]",adx,5m,6.5,0.046153846153846156,3,11.333333333333334,12,0.21821487080917165,4.2484444836721185,2821,True,0.06153846153846154,True,True,True
"adx[length=28, threshold=15.0]",adx,15m,23.833333333333332,0.36923076923076925,2,11.833333333333332,24,0.16305000626646576,6.610388061249254,1271,False,0.06153846153846154,True,False,False
"adx[length=28, threshold=15.0]",adx,1h,34.166666666666664,0.49230769230769234,2,25.916666666666668,24,0.30846443806442436,21.72668841503171,303,True,0.3230769230769231,False,True,False
"adx[length=28, threshold=15.0]",adx,5m,11.0,0.09230769230769231,2,23.25,24,0.18785755053123027,3.349178864801307,3860,True,0.12307692307692308,True,True,True
"adx[length=28, threshold=20.0]",adx,15m,8.5,0.06153846153846154,3,20.666666666666668,6,0.15682816132869423,5.708825677388298,1124,True,0.23846153846153847,True,True,True
"adx[length=28, threshold=20.0]",adx,1h,16.5,0.16153846153846155,3,29.166666666666668,24,0.5792122583745696,32.273097826046694,276,True,0.5230769230769231,False,True,False
"adx[length=28, threshold=20.0]",adx,5m,10.166666666666666,0.07692307692307693,3,11.0,6,0.08032723537623673,0.35021562657783306,3281,True,0.046153846153846156,True,True,True
"adx[length=28, threshold=25.0]",adx,15m,3.0,0.015384615384615385,3,12.666666666666666,12,0.3748572993956179,12.647241622447144,804,True,0.08461538461538462,True,True,True
"adx[length=28, threshold=25.0]",adx,1h,29.166666666666668,0.4230769230769231,3,16.5,6,0.18210968819482395,7.304760024533008,209,False,0.1076923076923077,True,False,False
"adx[length=28, threshold=25.0]",adx,5m,5.333333333333333,0.03076923076923077,3,10.166666666666666,6,0.13703384037031757,2.087357503658716,2233,True,0.03076923076923077,True,True,True
"adx[length=28, threshold=30.0]",adx,15m,23.0,0.35384615384615387,2,3.6666666666666665,48,0.6797424587301724,18.15269094439379,549,True,0.015384615384615385,True,True,True
"adx[length=28, threshold=30.0]",adx,1h,44.0,0.7538461538461538,2,26.25,3,0.06889320408211,12.391176091096611,137,False,0.38461538461538464,False,False,False
"adx[length=28, threshold=30.0]",adx,5m,9.166666666666666,0.06153846153846154,2,5.916666666666666,6,0.12988946035869114,2.3409830897187778,1346,True,0.015384615384615385,True,True,True
"adx[length=7, threshold=15.0]",adx,15m,54.5,0.9076923076923077,2,49.25,48,-0.025002296274886312,-5.1559496012013035,993,False,0.9692307692307692,False,False,False
"adx[length=7, threshold=15.0]",adx,1h,35.666666666666664,0.5230769230769231,2,39.5,1,0.10827131051872,13.983602917173354,212,False,0.7230769230769231,False,False,False
"adx[length=7, threshold=15.0]",adx,5m,14.166666666666666,0.14615384615384616,2,35.66666666666667,3,0.027285603437238536,0.2634469078454787,2981,True,0.6153846153846154,False,True,False
"adx[length=7, threshold=20.0]",adx,15m,44.166666666666664,0.7230769230769231,3,35.833333333333336,48,0.05184191439600494,-1.3986059037760885,3278,True,0.5230769230769231,False,True,False
"adx[length=7, threshold=20.0]",adx,1h,41.166666666666664,0.6923076923076923,3,35.666666666666664,48,0.26953785820870696,11.369481792643828,706,False,0.6076923076923076,False,False,False
"adx[length=7, threshold=20.0]",adx,5m,35.5,0.5769230769230769,3,36.0,48,0.04822581256357439,1.2806838398667677,10553,False,0.6615384615384615,False,False,False
"adx[length=7, threshold=25.0]",adx,15m,35.833333333333336,0.5307692307692308,3,28.5,24,0.052767300734754496,1.9239953699283796,5002,False,0.4153846153846154,False,False,False
"adx[length=7, threshold=25.0]",adx,1h,29.166666666666668,0.4230769230769231,3,41.166666666666664,24,0.20415481156077947,8.104794938968242,1144,False,0.7384615384615385,False,False,False
"adx[length=7, threshold=25.0]",adx,5m,36.0,0.6153846153846154,3,35.5,24,0.017870826185859785,0.6265517894534712,16187,False,0.5923076923076923,False,False,False
"adx[length=7, threshold=30.0]",adx,15m,22.166666666666668,0.33076923076923076,2,28.25,1,0.014151097288847872,0.46945922657808714,5514,False,0.38461538461538464,False,False,False
"adx[length=7, threshold=30.0]",adx,1h,46.666666666666664,0.8153846153846154,2,27.75,24,0.008626822431690474,-6.700256352578864,1322,False,0.46923076923076923,False,False,False
"adx[length=7, threshold=30.0]",adx,5m,31.0,0.38461538461538464,2,30.25,24,0.040365396394374004,0.921237561883059,17171,False,0.2846153846153846,True,False,False
"squeeze[bb_length=14, kc_length=14, kc_mult=1.0]",squeeze,15m,34.666666666666664,0.47692307692307695,3,43.833333333333336,12,0.04534231494063249,1.5995951168222715,4782,False,0.8,False,False,False
"squeeze[bb_length=14, kc_length=14, kc_mult=1.0]",squeeze,1h,25.166666666666668,0.2923076923076923,3,24.666666666666668,1,0.05141644406705382,4.815597851837171,1250,True,0.2692307692307692,True,True,True
"squeeze[bb_length=14, kc_length=14, kc_mult=1.0]",squeeze,5m,18.333333333333332,0.2,3,50.0,1,0.017994997206323315,0.3705098738078523,10561,True,0.9230769230769231,False,True,False
"squeeze[bb_length=14, kc_length=14, kc_mult=1.5]",squeeze,15m,34.833333333333336,0.5,4,28.416666666666664,1,0.012974035480388762,0.6162922183712546,7364,True,0.4,False,True,False
"squeeze[bb_length=14, kc_length=14, kc_mult=1.5]",squeeze,1h,42.166666666666664,0.7384615384615385,4,27.833333333333336,6,0.016345139260844133,1.768004269728132,1747,False,0.49230769230769234,False,False,False
"squeeze[bb_length=14, kc_length=14, kc_mult=1.5]",squeeze,5m,37.0,0.6692307692307692,4,33.333333333333336,3,-0.00643213380039689,-0.1802217122049939,22952,False,0.4,False,False,False
"squeeze[bb_length=14, kc_length=14, kc_mult=2.0]",squeeze,15m,22.166666666666668,0.33076923076923076,3,14.666666666666666,12,0.06741569567878725,2.6282891049939536,5055,True,0.12307692307692308,True,True,True
"squeeze[bb_length=14, kc_length=14, kc_mult=2.0]",squeeze,1h,37.5,0.6,3,37.0,12,0.06778377750292852,-0.17499693657103405,1255,False,0.676923076923077,False,False,False
"squeeze[bb_length=14, kc_length=14, kc_mult=2.0]",squeeze,5m,29.666666666666668,0.3230769230769231,3,41.0,12,0.05024524933136747,0.6447785701646884,17542,True,0.8076923076923077,False,True,False
"squeeze[bb_length=14, kc_length=20, kc_mult=1.0]",squeeze,15m,43.833333333333336,0.7076923076923077,4,41.75,6,0.057568786338779494,3.6925733326711776,577,False,0.7307692307692307,False,False,False
"squeeze[bb_length=14, kc_length=20, kc_mult=1.0]",squeeze,1h,24.666666666666668,0.2692307692307692,4,20.833333333333336,3,0.14322642353569967,12.135733755576792,152,False,0.12307692307692308,True,False,False
"squeeze[bb_length=14, kc_length=20, kc_mult=1.0]",squeeze,5m,51.0,0.8923076923076924,4,24.583333333333332,1,-0.004109672313946296,0.04202635776732753,1126,False,0.14615384615384616,True,False,False
"squeeze[bb_length=14, kc_length=20, kc_mult=1.5]",squeeze,15m,21.833333333333332,0.3076923076923077,5,34.833333333333336,1,0.05431495223228699,2.479244038350635,1200,True,0.47692307692307695,False,True,False
"squeeze[bb_length=14, kc_length=20, kc_mult=1.5]",squeeze,1h,30.5,0.46153846153846156,5,26.833333333333332,48,0.4306924649333275,32.815748684500825,326,True,0.4076923076923077,False,True,False
"squeeze[bb_length=14, kc_length=20, kc_mult=1.5]",squeeze,5m,37.0,0.6692307692307692,5,38.166666666666664,24,0.052408181454102,1.2436512791692487,3131,False,0.7076923076923077,False,False,False
"squeeze[bb_length=14, kc_length=20, kc_mult=2.0]",squeeze,15m,13.0,0.13846153846153847,4,22.0,6,0.11823706511636287,0.048751663803504694,975,True,0.26153846153846155,True,True,True
"squeeze[bb_length=14, kc_length=20, kc_mult=2.0]",squeeze,1h,26.833333333333332,0.35384615384615387,4,33.5,1,0.11369624794032236,9.849199360546562,243,True,0.5692307692307692,False,True,False
"squeeze[bb_length=14, kc_length=20, kc_mult=2.0]",squeeze,5m,41.0,0.7230769230769231,4,36.0,48,0.09777831180667658,2.4423239011112616,2885,False,0.6615384615384615,False,False,False
"squeeze[bb_length=14, kc_length=30, kc_mult=1.0]",squeeze,15m,59.0,0.9692307692307692,3,43.833333333333336,6,-0.033888689177822555,-2.0865719887153915,224,False,0.8,False,False,False
"squeeze[bb_length=14, kc_length=30, kc_mult=1.0]",squeeze,1h,13.833333333333334,0.13846153846153847,3,24.666666666666668,1,0.2038416621960285,17.189000428946834,72,True,0.2692307692307692,True,True,True
"squeeze[bb_length=14, kc_length=30, kc_mult=1.0]",squeeze,5m,14.166666666666666,0.14615384615384616,3,28.0,3,0.14048581495896895,4.53947695979568,453,True,0.23846153846153847,True,True,True
"squeeze[bb_length=14, kc_length=30, kc_mult=1.5]",squeeze,15m,18.0,0.2076923076923077,4,35.75,1,0.07851781477790892,3.9043134212688226,458,True,0.5076923076923077,False,True,False
"squeeze[bb_length=14, kc_length=30, kc_mult=1.5]",squeeze,1h,61.0,0.9846153846153847,4,11.25,1,-0.010929404442225548,-0.28342873940693436,136,False,0.046153846153846156,True,False,False
"squeeze[bb_length=14, kc_length=30, kc_mult=1.5]",squeeze,5m,14.5,0.18461538461538463,4,25.583333333333332,48,0.4576620645464106,10.130941299249374,1160,True,0.16923076923076924,True,True,True
"squeeze[bb_length=14, kc_length=30, kc_mult=2.0]",squeeze,15m,49.666666666666664,0.8461538461538461,3,18.0,48,0.032125544912071785,-9.945760499734332,460,False,0.16923076923076924,True,False,False
"squeeze[bb_length=14, kc_length=30, kc_mult=2.0]",squeeze,1h,6.833333333333333,0.06153846153846154,3,26.833333333333332,1,0.22318779922340126,19.494747155296384,121,True,0.4076923076923077,False,True,False
"squeeze[bb_length=14, kc_length=30, kc_mult=2.0]",squeeze,5m,52.333333333333336,0.9384615384615385,3,41.0,48,0.1389150543491039,0.6044965846508134,1172,False,0.8076923076923077,False,False,False
"squeeze[bb_length=20, kc_length=14, kc_mult=1.0]",squeeze,15m,51.0,0.8615384615384616,4,41.75,1,-0.006719907922285096,0.10056957203230765,266,False,0.7307692307692307,False,False,False
